<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
FXRU [TQTF],Daily,20131204,000000,335.540000,335.540000,335.540000,335.540000,180.000000
FXRU [TQTF],Daily,20131216,000000,332.440000,332.440000,332.440000,332.440000,10.000000
FXRU [TQTF],Daily,20131218,000000,333.480000,333.480000,333.480000,333.480000,550.000000
FXRU [TQTF],Daily,20131227,000000,329.320000,329.320000,329.320000,329.320000,10.000000
FXRU [TQTF],Daily,20140110,000000,336.410000,336.410000,336.410000,336.410000,10.000000
FXRU [TQTF],Daily,20140117,000000,339.190000,339.230000,339.180000,339.230000,150.000000
FXRU [TQTF],Daily,20140123,000000,345.680000,345.680000,343.500000,343.500000,8950.000000
FXRU [TQTF],Daily,20140124,000000,349.590000,349.590000,349.590000,349.590000,250.000000
FXRU [TQTF],Daily,20140128,000000,347.700000,347.700000,347.700000,347.700000,25010.000000
FXRU [TQTF],Daily,20140130,000000,351.000000,351.000000,351.000000,351.000000,10.000000
FXRU [TQTF],Daily,20140131,000000,352.000000,352.000000,352.000000,352.000000,10.000000
FXRU [TQTF],Daily,20140203,000000,353.500000,353.500000,353.500000,353.500000,10.000000
FXRU [TQTF],Daily,20140217,000000,353.350000,353.360000,353.170000,353.360000,550.000000
FXRU [TQTF],Daily,20140218,000000,355.580000,355.580000,355.580000,355.580000,60.000000
FXRU [TQTF],Daily,20140220,000000,356.060000,359.890000,356.060000,356.330000,5340.000000
FXRU [TQTF],Daily,20140221,000000,355.500000,358.890000,355.500000,358.890000,2310.000000
FXRU [TQTF],Daily,20140224,000000,354.000000,354.000000,354.000000,354.000000,2380.000000
FXRU [TQTF],Daily,20140225,000000,354.900000,357.900000,354.900000,357.900000,2740.000000
FXRU [TQTF],Daily,20140226,000000,358.000000,358.680000,358.000000,358.680000,2410.000000
FXRU [TQTF],Daily,20140227,000000,360.500000,362.990000,360.500000,362.990000,2370.000000
FXRU [TQTF],Daily,20140228,000000,361.700000,361.700000,361.700000,361.700000,2420.000000
